,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pseudocolour,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,radial_velocity,phot_variable_flag,in_qso_candidates,in_galaxy_candidates,non_single_star,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,gaia_ra,gaia_dec,gaia_ra_e,gaia_dec_e,radio_ra,radio_dec,radio_ra_e,radio_dec_e,radio_idx,d2d,d3d,1.266GHz,1.266GHz_e,Group,MG
0,4625408507658062720,0.7097197292860924,0.041272704,2.26339056348896,0.045550663,8.99092983372643,0.053630576,,False,4446.578765179875,2.482073,16.567303,2093.184275243576,9.459445,17.036524,3314.887214922024,15.946724,1.0897999,,NOT_AVAILABLE,False,False,0,1.023935e-13,5.114672e-13,4996.423,4.6473,-0.5532,1066.5537,0.1082,0.0867,0.0462,60.131543201132736,-80.04782190418523,0.03596871,0.04401769,60.12880416666666,-80.04753055555555,0.0003208333333333333,5.555555555555556e-05,42,2.0010822371084,9.70152045571938e-06,107.3,5.8,,5.822737391094318
1,4625411020215142144,0.6206042884995301,0.024908856,2.275472434939392,0.028291443,-0.0836305776205487,0.03172785,,False,13208.388123224328,4.264658,15.385242,6985.930713283645,24.083889,15.727982,8891.301836969315,14.875483,0.852499,,NOT_AVAILABLE,False,False,0,1.0242788e-13,5.1162313e-13,5666.862,4.2803,-0.803,1557.3156,0.0844,0.0705,0.0381,60.210886657550965,-79.94074152284512,0.021817377,0.025814323,60.21534166666665,-79.9409388888889,0.0007791666666666666,0.0001361111111111111,101,2.8899854309700506,1.401104475131889e-05,16.8,2.0,,4.34931586160044
2,4625361095515300864,0.568919251947915,0.031338282,5.49819126580699,0.039547037,7.187798619201848,0.039329004,,False,7280.069348930027,3.015412,16.032028,3598.273279360777,10.257373,16.448307,5172.385960551392,15.463668,0.98463917,,NOT_AVAILABLE,False,False,0,1.02304314e-13,5.1101305e-13,5275.2534,3.9636,0.1005,2549.8977,0.0768,0.0625,0.0331,60.24095513471523,-80.10687839223783,0.03014329,0.03255375,60.23752499999999,-80.10714166666666,0.0010041666666666664,0.0001722222222222222,124,2.3236576602471444,1.126541023896709e-05,10.2,1.5,,4.807281151641439
3,4625265747241605888,0.2913662474880186,0.04519381,8.79984880267755,0.055878684,12.447515551233597,0.054133516,,False,3991.7578229621568,2.385942,16.684456,2136.070512880465,15.490784,17.014503,2633.96259301295,16.196371,0.8181324,,NOT_AVAILABLE,False,False,0,1.024142e-13,5.115914e-13,5647.9414,4.647,-0.7533,1627.6239,0.0173,0.0145,0.0078,60.436154937038346,-80.21510718989421,0.046146013,0.04431668,60.434945833333316,-80.21579722222222,0.001,0.00016944444444444445,344,2.5919161992331814,1.256596433670673e-05,10.5,1.6,,4.006652203561254
4,4625359618046554880,0.6765143025729247,0.019521771,5.546646823137314,0.0241264,0.2665950183245859,0.02414711,,False,20330.116569248225,4.896045,14.917017,10526.27924427924,16.238068,15.282855,13993.347867984308,14.383091,0.89976406,,NOT_AVAILABLE,False,False,0,1.0237135e-13,5.113398e-13,5547.5234,4.2607,-0.3083,1295.5386,0.1268,0.1052,0.0565,60.48693540694669,-80.19907930979919,0.01937063,0.01980553,60.48664583333333,-80.19957500000001,0.0009958333333333332,0.00016944444444444445,402,1.7932858264020282,8.694095027748078e-06,10.5,1.5,,4.068401913484445
5,4625369818592723072,0.3134714026880635,0.038310915,4.238020485787788,0.04583483,7.614762438805723,0.044250414,,False,5658.156228839726,2.7877905,16.30568,2898.622193303682,14.866777,16.683064,3914.7113746320174,15.766146,0.9169178,,NOT_AVAILABLE,False,False,0,1.02151774e-13,5.102453e-13,5685.7397,4.4114,-0.2851,1727.3402,0.2638,0.2194,0.118,60.605182576480416,-79.92084847989913,0.036174156,0.03705829,60.6046,-79.92110277777778,0.000975,0.00016944444444444445,573,0.9863089545138056,4.781760749468784e-06,10.3,1.5,,3.7866696361803562
6,4625420671005619200,0.3123848952921065,0.045537382,3.318159363241024,0.054019287,14.141446849214557,0.05472943,,False,4729.2092084209135,2.9636195,16.500395,2491.05553352214,13.392437,16.847584,3228.339280256274,15.975448,0.8721361,,NOT_AVAILABLE,False,False,0,1.022263e-13,5.1114245e-13,5878.879,4.4972,-0.9392,1670.6495,0.305,0.2568,0.14,60.60571400231488,-79.72124200294901,0.043777533,0.04505286,60.60672916666665,-79.721875,0.0008708333333333332,0.00015555555555555556,576,2.3702553394285677,1.1491322162714682e-05,12.6,1.7,,3.973845131630009
7,4625370475723817600,1.1618735385772254,0.010847439,4.679819353777125,0.013300486,11.513334866865774,0.011982356,,False,81888.1018248929,12.249646,13.404315,41814.75075501964,41.884182,13.785218,57144.0326849378,12.855469,0.9297495,35.974567,NOT_AVAILABLE,False,False,0,1.0294707e-13,5.1421546e-13,5511.5186,4.0926,-0.482,828.6274,0.1814,0.1502,0.081,60.77575816472099,-79.85867732290845,0.010885404,0.009521731,60.77958749999999,-79.85860833333332,0.0008499999999999998,0.00014722222222222223,852,2.4400056710556965,1.1829481313053818e-05,13.6,1.7,,3.7301093042695044
8,4625260623343865856,2.349870806981248,0.07254412,7.338136982072754,0.08829994,53.38655478108396,0.09602637,,False,1654.0989057985755,1.5438727,17.640963,437.2357965085882,12.52908,18.736753,1846.477217857856,16.582035,2.1547184,,NOT_AVAILABLE,False,False,0,1.04659106e-13,5.227908e-13,3716.2573,4.8462,-0.459,412.6062,0.6543,0.4496,0.2592,60.89993066856111,-80.37660950865644,0.06659663,0.06794163,60.89914166666666,-80.37599444444444,0.0004083333333333333,6.666666666666667e-05,1118,2.264575369755354,1.0978971211602778e-05,75.3,4.9,,9.49618292974701
9,4625358720397108352,0.9621250501230724,0.060889836,2.501077598771209,0.07547907,-8.366141226350432,0.07679302,,False,2454.420081292042,1.937185,17.212494,939.0210337928188,7.621911,17.906855,2145.478073338266,16.419085,1.4877701,,NOT_AVAILABLE,False,False,0,1.0232732e-13,5.251129e-13,4387.365,4.6541,0.008,974.7099,0.244,0.1831,0.0965,60.93526861169652,-80.13095564574805,0.057222605,0.057855316,60.93560416666666,-80.13127777777777,0.00039166666666666663,6.666666666666667e-05,1188,1.1780126920274179,5.7111666961524235e-06,75.6,4.9,,7.128651610963175
